Model,auuc_mean,auuc_std,qini_mean,qini_std,lift_30_mean,lift_30_std,krcc_mean,krcc_std,latency_ms_mean,latency_ms_std,val_loss_mean,val_loss_std
TARNet + RERUM,-0.020801607902452345,0.10494318671215631,-0.023027026203478324,0.10472560173938036,0.5801131367683411,0.23149093536371526,0.07251719084150349,0.05861193183339623,0.001533428487847576,0.0001794499448418133,2.4675690743658274,0.0289131891257059
DragonNet,0.059573493160322843,0.05329661486212342,0.056479376692824365,0.05392561591932653,0.4805493772029877,0.24840699111702622,0.11299819477124373,0.019258272810351012,0.0007298676404687547,0.00017091349715492215,209.32579669952392,0.08684930836392356
DragonNet + ZILN,0.08034649638088835,0.07589522947026899,0.07660595521159456,0.07476319144577637,0.6188936293125152,0.4505898256248388,0.07591771061830506,0.040036498543280716,0.0017776456993776606,0.0001649359837391283,2.635039485825433,0.02076474275663192
DragonNet + ZILN + Focal,0.08165225651939911,0.12400637800921294,0.07940178681277124,0.12249005513864133,0.6955916821956635,0.4782419916560757,0.06305706916818979,0.11050028010389785,0.001473654876094323,0.00018645470272920096,5.487589902347989,1.3524392899833506
DragonNet + ZILN + Focal + WR,0.043654560501828046,0.1781296221422167,0.04162573054521983,0.1772473768517918,0.5990504264831543,0.48840789303746124,0.06958861557009799,0.08692653715608449,0.0011941411357121565,0.00017790088033243755,3.3163032200601363,0.10488755254456114
DragonNet + ZILN + Focal + GTI,0.15456380538367523,0.0379340772277607,0.15132031393537013,0.03749858171789294,0.7139130234718323,0.18716470603564514,0.12586467316539401,0.04404505383179114,0.0013202656353838045,0.0001756594781439303,1.8650326106283401,0.026681972154460068
DragonNet + ZILN + Focal + GTI + WR,0.015645713276605827,0.11231256728783574,0.014039310443438407,0.11206508010904545,0.64586021900177,0.39421566718170753,0.07086153337191711,0.0337445881869688,0.0014777650940027093,0.00016306065652306565,3.143811487489276,0.699689751987013
DragonNet + UpliftRank,0.08804360312208659,0.05940710269923912,0.08416944246150966,0.058991009431365364,0.3683851957321167,0.3142332085015705,0.12739844687200372,0.032240943895824055,0.000630695070977358,6.115806722470536e-05,209.4922776275211,0.016252081934710606
DragonNet + ZILN + UpliftRank,0.09874024400335107,0.08889806867512236,0.09503671886104441,0.08780411661045283,0.6590818047523499,0.5293647184110227,0.06865685444748396,0.045432964576361846,0.0014420512845849758,0.00023655359888648684,2.6367538597848683,0.01809251959404421
DragonNet + RespRank,0.07528165860495972,0.06676195055376508,0.07150471685872542,0.06614128537368955,0.27966727018356324,0.2951778063464351,0.12811000272477818,0.02865504849775073,0.0006510504057584893,0.00011098746798896332,209.4240932729509,0.019190737561079935
DragonNet + ZILN + RespRank,0.0639632442164521,0.12631964709563145,0.061957677574489264,0.12597550034923571,0.6704517483711243,0.3042320393316047,0.08344081476692614,0.05293531430361681,0.001077168873690679,0.00013110735679730342,4.686861525641548,0.014546288438187295
DragonNet + RERUM,0.05150808180299345,0.13896570256317725,0.04790414041483719,0.1374705298358266,0.6555479407310486,0.47288900285794244,0.10244551932936685,0.03499843860762868,0.0012030892671714972,0.00017940422096158942,8.130636753638587,0.5900863944067865
CFR-MMD,0.1349171441472727,0.13012287071564155,0.13083362747698682,0.12849296883858952,1.0056587755680084,0.4655146710760599,0.08678619610374025,0.0562333159089578,0.0006502504378232013,0.00010684290626557921,208.82332190407647,0.0939408295619051
CFR-MMD + ZILN,0.11849461479973263,0.1101459577730028,0.11764503991456823,0.1098143986461937,0.8537395477294922,0.4176638745482025,0.07356713855080554,0.05568116346441742,0.0014358196513222254,0.0001445569238049686,4.282170057296753,0.8483846464640364
CFR-MMD + ZILN + Focal,0.04417782524275831,0.11195660703027185,0.041720059993386634,0.11151884088023972,0.46273569464683534,0.47330874744629947,0.05321254155138162,0.06436048948804897,0.0012529764789678168,0.00015356389256643676,1.8820831212732525,0.02473617100343175
CFR-MMD + ZILN + Focal + WR,0.05275420027088307,0.12275040408122088,0.05075390689312285,0.12165377213011425,0.7483730494976044,0.36986094950656717,0.08555615892741711,0.04031557308922267,0.0012439214926054365,0.00020943187422895225,1.9218420528703266,0.25778964985492625
CFR-MMD + ZILN + Focal + GTI,0.1424331541687461,0.1304427906072173,0.13911906019801865,0.1289284875313181,0.865285974740982,0.35433736047058684,0.07876264613041459,0.06107653338372203,0.001453904517852845,0.0001670100948023597,3.611032928360833,0.02149502489830483
CFR-MMD + ZILN + Focal + GTI + WR,0.010883936222786317,0.06783077555331751,0.007975417062916485,0.06680949292073603,0.40649508237838744,0.4435104654954642,0.07532756511928142,0.028944615054219636,0.0014560640394879097,0.0002598280561325618,2.3120294087462954,0.7245171541585484
CFR-MMD + UpliftRank,0.18769624269336993,0.08486316129623248,0.1856514190746799,0.08369610833180766,1.1808011740446092,0.46749078354562795,0.10286784933313875,0.07135374008182577,0.0006458133418633346,0.0001223246548874379,208.75204614533317,0.06287813440593513
CFR-MMD + ZILN + UpliftRank,0.040089531243668194,0.09190041449261714,0.037596946965824274,0.09132752020123837,0.6371253669261933,0.3733787833932709,0.07461307977139486,0.035109819652999884,0.001193847886192593,0.0001910505100796114,1.9433599041567908,0.02590148403491188
CFR-MMD + RespRank,0.11185433903000322,0.10105144643683459,0.10930559827095884,0.10059462376666994,0.8479836821556092,0.31777722335303854,0.11146804532091989,0.042834020949943555,0.00072947474097717,0.00012299278457034282,208.75992619196572,0.14960946457617508
CFR-MMD + ZILN + RespRank,0.13437119103319559,0.09764410069741479,0.13131699080119946,0.09665200871445026,0.8809693992137909,0.40811837331211903,0.10721231836717975,0.04698799230149519,0.0011475035547385143,0.00010476525557520468,4.2369700749715165,1.0288740536800816
CFR-MMD + RERUM,0.08978556617156282,0.12598726388080445,0.08704106949376093,0.126904546194411,0.6760156095027924,0.3796185666769736,0.0881081545694055,0.047142299758627035,0.0014417276756349957,0.00034729974692523593,3.64153921869066,0.27305914167173845
CFR-WASS,0.02008587471602763,0.05724365818820611,0.017381071983405227,0.0566571657298519,0.19291399121284486,0.17530191342899548,0.10850324585445677,0.043461676744820744,0.0006845859664231259,0.00019408925267782017,209.0724939346313,0.01744719985807984
CFR-WASS + ZILN,-0.042055924864488996,0.15281055961578632,-0.04379783798831201,0.1528247967604843,0.32453773021697996,0.3031461956253117,0.04819166540514215,0.07522219736307052,0.0017299198127114252,0.00021940453756138302,3.790721877415975,0.02505087990024219
CFR-WASS + ZILN + Focal,0.027327570961670027,0.1027506064254167,0.025424199456465367,0.1025958284445083,0.38584818243980407,0.4317648073741882,0.10690878705437339,0.04375503900834031,0.001286578210979651,0.0001544530507496797,2.078723346524769,0.024531139496741797
TARNet + UpliftRank + RespRank,0.07138085039833321,0.12186871724496168,0.06867223987954438,0.1204677083891134,0.7439735174179077,0.5603877334838921,0.10168420724020925,0.04693461387877619,0.0007746621024177136,9.288364943151967e-05,208.83064366976419,0.16916742762607542
DragonNet + UpliftRank + RespRank,0.07953888787203303,0.10343993960796755,0.07698245761329814,0.10265885209264815,0.7137314856052399,0.40358014736075387,0.08763308309017334,0.04738175685521867,0.0006090883959111821,9.672576154742886e-05,209.45292691124814,0.13277325728799852
CFR-MMD + UpliftRank + RespRank,0.15384128363758642,0.10597616016033916,0.15184696033210118,0.10521569913187792,0.8802754640579223,0.4321461859364654,0.120299702343064,0.05988257466471736,0.0006334570454883542,9.789161231835839e-05,208.6381611082289,0.14121155819978667
CFR-WASS + ZILN + Focal + WR,0.023809604959104797,0.1265075650006072,0.02100959168062146,0.12494956130529196,0.4945798933506012,0.541215646672678,0.063958743872744,0.03851675383432991,0.0012195802069205526,0.00019989484194877122,1.8489680965741475,0.016743480378071905
CFR-WASS + ZILN + Focal + GTI,0.06704043798032208,0.08802171267511402,0.06338053545625573,0.08739654885529008,0.5851238489151,0.3869324909927073,0.08005491841820253,0.038889674097514364,0.0015113309866091045,0.00022617492931480812,2.0232160554991827,0.537301844615983
CFR-WASS + ZILN + Focal + GTI + WR,0.08370987849340139,0.12216491341234548,0.08037594185200848,0.12194234715644275,0.7419284462928772,0.40677361354471364,0.10250273855875318,0.02920694079328414,0.001489779115092052,0.00015990537429030714,3.6585608376397025,0.017296883009141832
CFR-WASS + UpliftRank,0.019142852050639585,0.056968741279913505,0.016412148385006004,0.05637198285314896,0.1851323127746582,0.17231082310472473,0.11474198242665615,0.03589149136882741,0.0006298520589617176,7.227101518259062e-05,209.11978122393293,0.017490057057336632
CFR-WASS + UpliftRank + RespRank,-0.024419910219240372,0.07761914235911163,-0.027519731278952242,0.07681764685353691,0.22624667286872863,0.23979870181187432,0.07561702652460257,0.04451683431350406,0.0006792204501616815,0.00012874478126858566,208.91478963428077,0.07654118386545207
CFR-WASS + ZILN + UpliftRank,0.11948856688932934,0.12336059921388791,0.11537048035076372,0.12114071760023264,0.8214846551418304,0.4331283223019244,0.09986912748669628,0.0968935388569591,0.001304152469449389,0.00012382806449799192,-5.4289836499426105,27.46989783240835
CFR-WASS + RERUM,-0.06049169762791734,0.12220295915708136,-0.0629726578138935,0.1221279329593499,0.28318949937820437,0.3327037725880483,0.07251892529226858,0.05343880862209779,0.0014448327825314117,0.00013298574556785655,9.398985154098934,0.08081131686149597
EFIN,0.17044614150554133,0.11199516554553739,0.1666965316870508,0.11032563152642111,1.0159357726573943,0.5780936694970298,0.14510109483774683,0.03863891839999717,0.00139595566146265,9.865277254193533e-05,416.88644549051924,0.09335266484063122
EFIN + ZILN,0.11309859803124074,0.07012874978855708,0.11125843875757398,0.07019085272443042,0.7025406241416932,0.405277865987636,0.09316136427992003,0.04178669987546961,0.0017925609774488392,0.0002062087541116073,309.96832983493806,0.14281781228174126
EFIN + ZILN + Focal,0.15094403773687456,0.12877789373393095,0.14769179153397466,0.12878022924562327,1.1893847942352296,0.42024463368687387,0.15038955931382125,0.10363395108194869,0.0017356535843700265,0.00022559100569519142,310.0426089790132,0.29019211461283434
